Part#	Descrip	Brand	Front Left Flange Diameter (mm)	Front Right Flange Diameter (mm) 	Front Left Center To Flange (mm)	Front Right Center To Flange (mm)	Front Holes	Rear Left Flange Diameter (mm)	Rear Right Flange Diameter (mm) 	Rear Left Center To Flange (mm)	Rear Right Center To Flange (mm)	Rear Holes
HU8517	XT M770 32h Front hub Silver	Shimano	40.00	40.00	33.50	33.50	32	0.00	0.00	0.00	0.00	0
HU8518	XT M770 36h Rear Hub Silver	Shimano	0.00	0.00	0.00	0.00	0	44.00	45.00	34.00	20.00	36
HU8519	XT M770 32h Rear Hub Silver	Shimano	0.00	0.00	0.00	0.00	0	44.00	45.00	34.00	20.00	32
HU8810	Paul High Flange 32hFront hub Black	Paul Components	65.00	65.00	33.00	33.00	32	0.00	0.00	0.00	0.00	0
HU8811	Paul High Flange Rear 120mm 32h Black	Paul Components	0.00	0.00	0.00	0.00	0	64.50	64.50	34.00	34.00	32
HU8812	Paul High Flange Rear 130mm 32h Black	Paul Components	0.00	0.00	0.00	0.00	0	65.00	65.00	33.00	33.00	32
HU8825	Front hub 32 hole Silver QR	Paul Components	43.00	43.00	36.50	36.50	32	0.00	0.00	0.00	0.00	0
HU8826	Front hub 32 hole Black QR	Paul Components	43.00	43.00	36.50	36.50	32	0.00	0.00	0.00	0.00	0
HU8830	WORD Single Speed hub 32h Silver	Paul Components	0.00	0.00	0.00	0.00	0	44.00	44.00	39.25	39.25	32
HU8831	WORD Single Speed hub 32 hole Black	Paul Components	0.00	0.00	0.00	0.00	0	44.00	44.00	39.25	39.25	32
HU8850	Disc Front Hub Black 32 hole	Paul Components	56.00	56.00	23.00	32.00	32	0.00	0.00	0.00	0.00	0
HU8852	Word Disc Hub Black 32 hole	Paul Components	0.00	0.00	0.00	0.00	0	56.00	56.00	33.00	33.00	32
HU8860	Saint FH-M805 32h Rear Centerlock OS Hub	Shimano	0.00	0.00	0.00	0.00	0	61.00	61.00	40.50	27.50	32
HU8861	Saint FH-M805 36h Rear Centerlock OS Hub	Shimano	0.00	0.00	0.00	0.00	0	61.00	61.00	40.50	27.50	36
HU8901	Profile Mini SS Cassette Hub Purple w/CrMo 9t 36h	Profile Racing	0.00	0.00	0.00	0.00	0	43.50	54.50	32.50	30.00	36
HU8902	Profile Racing Mini front hub 36h Green	Profile Racing	43.50	43.50	32.00	32.00	36	0.00	0.00	0.00	0.00	0
HU8903	Profile Mini SS Cassette Hub Green w/CrMo 9t 36h	Profile Racing	0.00	0.00	0.00	0.00	0	43.50	54.50	32.50	30.00	36
HU9001	Profile BMX Front 36 hole Silver  	Profile Racing	52.00	52.00	33.00	33.00	36	0.00	0.00	0.00	0.00	0
HU9002	Profile BMX Rear Cassette 36 hole Silver w/16T Cog 	Profile Racing	0.00	0.00	0.00	0.00	0	52.00	52.00	30.50	30.50	36
HU9003	Profile Mini front hub 36h Brown	Profile Racing	43.50	43.50	32.00	32.00	36	0.00	0.00	0.00	0.00	0
HU9004	Profile Mini front hub 36h Red	Profile Racing	43.50	43.50	32.00	32.00	36	0.00	0.00	0.00	0.00	0
HU9005	Profile BMX Mini front hub 36 hole black  	Profile Racing	43.50	43.50	32.00	32.00	36	0.00	0.00	0.00	0.00	0
HU9006	Profile BMX Mini Cassette Hub w/Ti Driver 36H black	Profile Racing	0.00	0.00	0.00	0.00	0	44.00	54.00	32.00	28.00	36
HU9015	Profile SS front hub 48 hole  	Profile Racing	54.00	54.00	32.00	32.00	48	0.00	0.00	0.00	0.00	0
HU9016	Profile SS rear cassette hub 48 hole w/16t   	Profile Racing	0.00	0.00	0.00	0.00	0	52.00	52.00	30.00	30.00	48
HU9017	Profile Mini SS rear hub with 9T Ti driver and Ti axle 36 hole Silver	Profile Racing	0.00	0.00	0.00	0.00	0	43.00	54.00	33.00	28.00	36
HU9018	Profile Mini SS Cassette Hub with 9T Ti driver and Ti axle 36 hole Black	Profile Racing	0.00	0.00	0.00	0.00	0	43.00	54.00	31.00	28.50	36
HU9034	Profile Mini SS Cassette Hub White w/CrMo 9t	Profile Racing	0.00	0.00	0.00	0.00	0	43.50	54.50	32.50	30.00	36
HU9035	Profile Racing Front Track Hub White 32h	Profile Racing	58.50	58.50	32.00	32.00	32	0.00	0.00	0.00	0.00	0
HU9036	Profile Racing Rear Track Hub White 32h	Profile Racing	0.00	0.00	0.00	0.00	0	58.50	58.50	31.00	33.00	32
HU9038	KHE Astral 36h Front Hub with 3/8" & 14mm studs	KHE	40.00	40.00	30.50	30.50	36	0.00	0.00	0.00	0.00	0
HU9041	KHE Geisha Light 36h Sil Freecoaster Hub w/9t	KHE	0.00	0.00	0.00	0.00	0	45.00	58.25	27.50	27.50	36
HU9042	KHE Geisha Light 48h Sil Freecoaster Hub w/9t	KHE	0.00	0.00	0.00	0.00	0	45.00	58.25	27.50	27.50	48
HU9044	Profile BMX Mini Cassette w/Chromo Driver 36h Black	Profile Racing	0.00	0.00	0.00	0.00	0	43.50	54.50	33.50	28.50	36
HU9045	Profile Mini SS Cassette Hub Black w/CrMo 9t	Profile Racing	0.00	0.00	0.00	0.00	0	43.50	54.50	32.50	30.00	36
HU9046	Profile Mini SS Cassette Hub Brown w/CrMo 9t	Profile Racing	0.00	0.00	0.00	0.00	0	43.50	54.50	32.50	30.00	36
HU9047	Profile Mini SS Cassette Hub Red w/CrMo 9t	Profile Racing	0.00	0.00	0.00	0.00	0	43.50	54.50	32.50	30.00	36
HU9048	KHE Limited Edition Purple Geisha Light 36h Freecoaster	KHE	0.00	0.00	0.00	0.00	0	45.00	58.25	27.50	27.50	36
HU9049	Profile Poznanter unicycle hub, black	Profile Racing	0.00	0.00	0.00	0.00	0	54.50	54.50	33.75	33.75	36
HU9050	Profile Poznanter unicycle hub, silver	Profile Racing	0.00	0.00	0.00	0.00	0	54.50	54.50	33.50	33.50	36
HU9052	KHE 36h White 07 Reverse RHD Hub w/9t driver	KHE	0.00	0.00	0.00	0.00	0	58.00	58.00	25.50	26.50	36
HU9053	KHE 36h Black 07 Reverse RHD Hub w/9t driver	KHE	0.00	0.00	0.00	0.00	0	58.00	58.00	25.50	26.50	36
HU9054	KHE 48h White 07 Reverse RHD Hub w/9t driver	KHE	0.00	0.00	0.00	0.00	0	58.00	58.00	25.50	26.50	48
HU9055	KHE 48h Black 07 Reverse RHD Hub w/9t driver	KHE	0.00	0.00	0.00	0.00	0	58.00	58.00	25.50	26.50	48
HU9056	KHE 36h White 07 Reverse LHD Hub w/9t driver	KHE	0.00	0.00	0.00	0.00	0	58.00	58.00	25.50	26.50	36
HU9057	KHE 36h Black 07 Reverse LHD Hub w/9t driver	KHE	0.00	0.00	0.00	0.00	0	58.00	58.00	25.50	26.50	36
HU9058	KHE 48h White 07 Reverse LHD Hub w/9t driver	KHE	0.00	0.00	0.00	0.00	0	58.00	58.00	25.50	26.50	48
HU9059	KHE 48h Black 07 Reverse LHD Hub w/9t driver	KHE	0.00	0.00	0.00	0.00	0	58.00	58.00	25.50	26.50	48
HU9074	Profile Racing Front Track Hub Silver 32 hole	Profile Racing	58.50	58.50	32.00	32.00	32	0.00	0.00	0.00	0.00	0
HU9075	Profile Racing Front Track Hub Purple 32h	Profile Racing	58.50	58.50	32.00	32.00	32	0.00	0.00	0.00	0.00	0
HU9076	Profile Racing Rear Track Hub Silver 32 hole	Profile Racing	0.00	0.00	0.00	0.00	0	58.50	58.50	31.00	33.00	32
HU9077	Profile Racing Rear Track Hub Purple 32 hole	Profile Racing	0.00	0.00	0.00	0.00	0	58.50	58.50	31.00	33.00	32
HU9110	FMF HUB SET FLIP/FLOP ALLOY SEALED	FMF	38.00	38.00	26.50	26.50	28	45.50	45.50	30.50	30.50	28
HU9111	FMF HUB SET FLIP/FLOP ALLOY SEALED	FMF	38.00	38.00	26.50	26.50	28	45.50	45.50	30.50	30.50	28
HU9112	FMF HUB SET FLIP/FLOP ALLOY SEALED	FMF	38.50	38.50	27.50	27.50	36	45.50	45.50	31.50	30.50	36
HU9113	FMF HUB SET FLIP/FLOP ALLOY SEALED	FMF	38.50	38.50	27.00	27.00	36	46.00	46.00	31.00	31.00	36
HU9114	FMF Powermoto 28h Rear Cassette Hub, Black - Compatible with FMF Cassettes (Comes with cogs sizes 9,11,13,15,16,17, and 18)	FMF	38.00	38.00	25.50	25.50	28	45.50	45.50	31.00	21.50	28
HU9115	FMF Powermoto 36h Rear Cassette Hub, Black - Compatible with FMF Cassettes (Comes with cogs sizes 9,11,13,15,16,17, and 18)	FMF	38.00	38.00	25.50	25.50	36	45.50	45.50	31.00	21.50	36
HU9116	KHE Lolita Cass. Hub 36h Black w/9t and 14mm axle	KHE	0.00	0.00	0.00	0.00	0	58.00	58.00	26.50	26.50	36
HU9117	KHE Lolita Cass. Hub 48h Black w/9t and 14mm axle	KHE	0.00	0.00	0.00	0.00	0	58.00	58.00	26.50	26.50	48
HU9120	KHE Front Hub 10mm Axle 36h Sealed Blk	KHE	38.00	38.00	27.00	27.00	36	0.00	0.00	0.00	0.00	0
HU9125	KHE Hure Front Hub 3/8" or 14mm Sealed 36h Brown	KHE	45.00	45.00	34.50	34.50	36	0.00	0.00	0.00	0.00	0
HU9126	KHE Hure Cass Hub 3/8" or 14mm Sealed 36h Brown	KHE	0.00	0.00	0.00	0.00	0	45.00	58.00	28.00	26.00	36
HU9127	KHE Hure Cass Hub 3/8" or 14mm Sealed 48h Brown	KHE	0.00	0.00	0.00	0.00	0	45.00	58.00	28.00	26.00	48
HU9134	KHE Geisha Front 3/8" Hub Sealed 36h Gold	KHE	44.50	44.50	26.00	26.00	36	0.00	0.00	0.00	0.00	0
HU9135	KHE Geisha Freecoaster 3/8" Hub w/11t 36h Gold	KHE	0.00	0.00	0.00	0.00	0	67.00	67.00	24.50	26.00	36
HU9138	KHE Geisha Street Free coast 14mm 36h Brn w/9t	KHE	0.00	0.00	0.00	0.00	0	60.00	60.00	30.00	30.00	36
HU9139	KHE Geisha Street Free coast 14mm 48h Brn w/9t	KHE	0.00	0.00	0.00	0.00	0	60.00	60.00	30.00	30.00	48
HU9163	Odyssey Hazard BMX Front 48H Hub Black 14mm Axle	Odyssey	45.00	45.00	28.00	28.00	48	0.00	0.00	0.00	0.00	0
HU9164	KHE Geisha Front 3/8" Hub Sealed 36h Silver	KHE	45.00	45.00	27.50	27.50	36	0.00	0.00	0.00	0.00	0
HU9165	Odyssey Hazard BMX Rear Flip-Flop 48H Hub Black 14mm Axle	Odyssey	0.00	0.00	0.00	0.00	0	45.00	45.00	28.00	28.00	48
HU9166	Odyssey Hazard BMX Rear LHD/RHD 48H Hub Black 14mm Axle	Odyssey	0.00	0.00	0.00	0.00	0	45.00	45.00	28.50	28.50	48
HU9167	Odyssey Hazard BMX Rear Cassette 48H Hub Black 14mm Axle	Odyssey	0.00	0.00	0.00	0.00	0	49.00	49.00	27.50	27.50	48
HU9172	Odyssey Vandero 36h Front Hub	Odyssey	38.00	38.00	30.00	30.00	36	0.00	0.00	0.00	0.00	0
